distcode,year,pop,density,name,xcoord,ycoord,bl_ags,bl_name
8221,2017,127596,1474.89209293783,Heidelberg,479.25661186724,5472.62611705822,8,Baden-Württemberg
8222,2017,236355,2124.55680485618,Mannheim,464.71873723828,5483.23292779881,8,Baden-Württemberg
8225,2017,129795,127.338934579107,Neckar-Odenwald-Kreis,519.597817606898,5479.48796028726,8,Baden-Württemberg
8226,2017,479646,515.044039376384,Rhein-Neckar-Kreis,468.355216096027,5471.9838572848,8,Baden-Württemberg
8231,2017,92858,1267.34985214643,Pforzheim,479.47013794826,5413.56767964185,8,Baden-Württemberg
8235,2017,134473,197.448858006497,Calw,472.477223288167,5389.84083737719,8,Baden-Württemberg
8236,2017,173025,345.831589958159,Enzkreis,488.650518713864,5418.38605171736,8,Baden-Württemberg
8237,2017,104208,134.946403336435,Freudenstadt,466.064032001315,5368.73173899539,8,Baden-Württemberg
8311,2017,190306,1500.4966021955,Freiburg im Breisgau,410.829017358208,5315.52987871374,8,Baden-Württemberg
8315,2017,232057,190.381699327437,Breisgau-Hochschwarzwald,435.065551603689,5309.33749307572,8,Baden-Württemberg
8316,2017,148196,242.298356845496,Emmendingen,415.440720465141,5331.78420309669,8,Baden-Württemberg
8317,2017,379179,228.961231642548,Ortenaukreis,426.667744996393,5365.36541120709,8,Baden-Württemberg
8325,2017,123572,180.471004132983,Rottweil,462.833148956143,5343.15820096432,8,Baden-Württemberg
8326,2017,180207,205.989291252572,Schwarzwald-Baar-Kreis,461.74744293593,5314.05645459223,8,Baden-Württemberg
8327,2017,117444,189.815899125793,Tuttlingen,486.697817748014,5318.11724862276,8,Baden-Württemberg
8335,2017,242530,347.215090833517,Konstanz,488.892734579386,5293.77391587203,8,Baden-Württemberg
8336,2017,195047,283.018680814667,Lörrach,406.126383120308,5284.53738032366,8,Baden-Württemberg
8337,2017,144601,150.471222703563,Waldshut,439.666686447107,5283.62909677706,8,Baden-Württemberg
8415,2017,242146,261.564513766842,Reutlingen,527.89116517166,5360.85677497643,8,Baden-Württemberg
8416,2017,195781,434.880181846201,Tübingen,497.261939572337,5371.05563711302,8,Baden-Württemberg
8417,2017,165325,205.072037315547,Zollernalbkreis,493.505813498743,5345.3063855764,8,Baden-Württemberg
8421,2017,101345,1058.27435119649,Ulm,568.792104946236,5359.84354127572,8,Baden-Württemberg
8425,2017,170086,143.262301718744,Alb-Donau-Kreis,553.881305150104,5359.81452739431,8,Baden-Württemberg
