district,municipality,age_group,pop
1058,1058027,above65,84
1058,1058028,above65,245
1058,1058029,above65,299
1058,1058030,above65,210
1058,1058031,above65,31
1058,1058032,above65,218
1058,1058033,above65,218
1058,1058034,above65,2783
1058,1058035,above65,104
1058,1058036,above65,52
1058,1058037,above65,800
1058,1058038,above65,76
1058,1058039,above65,69
1058,1058040,above65,399
1058,1058042,above65,145
1058,1058043,above65,6383
1058,1058044,above65,111
1058,1058045,above65,63
1058,1058046,above65,100
1058,1058047,above65,340
1058,1058048,above65,30
1058,1058049,above65,284
1058,1058050,above65,413
1058,1058051,above65,240
1058,1058052,above65,456
1058,1058053,above65,1887
1058,1058054,above65,1679
1058,1058055,above65,9
1058,1058056,above65,79
1058,1058057,above65,149
1058,1058058,above65,1656
1058,1058059,above65,227
1058,1058061,above65,125
1058,1058062,above65,45
1058,1058063,above65,33
1058,1058064,above65,75
1058,1058065,above65,184
1058,1058066,above65,248
1058,1058067,above65,94
1058,1058068,above65,99
1058,1058069,above65,103
1058,1058070,above65,276
1058,1058071,above65,84
1058,1058072,above65,684
1058,1058073,above65,52
1058,1058074,above65,29
1058,1058075,above65,13
1058,1058076,above65,27
1058,1058077,above65,1297
1058,1058078,above65,561
1058,1058080,above65,268
1058,1058081,above65,71
1058,1058082,above65,160
1058,1058083,above65,31
1058,1058084,above65,55
1058,1058085,above65,41
1058,1058086,above65,739
1058,1058087,above65,162
1058,1058088,above65,35
1058,1058089,above65,32
1058,1058090,above65,349
1058,1058091,above65,87
1058,1058092,above65,3233
1058,1058093,above65,112
1058,1058094,above65,280
1058,1058096,above65,280
1058,1058097,above65,92
1058,1058098,above65,35
1058,1058099,above65,133
1058,1058100,above65,130
1058,1058101,above65,66
1058,1058102,above65,171
1058,1058103,above65,82
1058,1058104,above65,366
1058,1058105,above65,227
1058,1058106,above65,50
1058,1058107,above65,1533
1058,1058108,above65,111
1058,1058109,above65,71
1058,1058110,above65,205
1058,1058111,above65,27
1058,1058112,above65,287
1058,1058113,above65,101
1058,1058115,above65,119
1058,1058116,above65,217
1058,1058117,above65,1786
1058,1058118,above65,318
1058,1058119,above65,53
1058,1058120,above65,20
1058,1058121,above65,455
1058,1058122,above65,70
1058,1058123,above65,205
1058,1058124,above65,1014
1058,1058125,above65,112
1058,1058126,above65,242
1058,1058127,above65,750
1058,1058128,above65,245
1058,1058129,above65,34
1058,1058130,above65,352
1058,1058131,above65,15
1058,1058132,above65,50
1058,1058133,above65,26
1058,1058134,above65,94
1058,1058135,above65,5997
1058,1058136,above65,216
1058,1058137,above65,575
1058,1058138,above65,118
1058,1058139,above65,151
1058,1058140,above65,1018
1058,1058141,above65,91
1058,1058142,above65,212
1058,1058143,above65,41
1058,1058144,above65,32
1058,1058145,above65,70
1058,1058146,above65,123
1058,1058147,above65,146
1058,1058148,above65,303
1058,1058150,above65,632
1058,1058151,above65,57
1058,1058152,above65,171
1058,1058153,above65,42
1058,1058154,above65,54
1058,1058155,above65,82
1058,1058156,above65,59
1058,1058157,above65,432
1058,1058158,above65,11
1058,1058159,above65,71
1058,1058160,above65,31
1058,1058161,above65,46
1058,1058162,above65,93
1058,1058163,above65,223
1058,1058164,above65,191
1058,1058165,above65,202
1058,1058166,above65,366
1058,1058167,above65,59
1058,1058168,above65,193
1058,1058169,above65,423
1058,1058170,above65,557
1058,1058171,above65,331
1058,1058172,above65,1207
1058,1058173,above65,255
1058,1058174,above65,109
1058,1058175,above65,106
1059,1059001,above65,57
1059,1059002,above65,89
1059,1059005,above65,164
1059,1059006,above65,133
1059,1059008,above65,382
1059,1059009,above65,144
1059,1059010,above65,257
1059,1059012,above65,248
1059,1059018,above65,446
1059,1059019,above65,236
1059,1059020,above65,112
1059,1059023,above65,154
1059,1059024,above65,438
