district,municipality,centroid_x,centroid_y
1056,1056038,545972.653846962,5969981.94662978
1056,1056039,552372.38019544,5944616.59594822
1056,1056040,550321.090326826,5948247.56962009
1056,1056041,559604.628023908,5954258.44890493
1056,1056042,539591.5895201,5955642.37382424
1056,1056043,556342.631567046,5944681.28252121
1056,1056044,554669.029249764,5939516.73277453
1056,1056045,536240.074618686,5949842.6526525
1056,1056046,548563.626872473,5954491.74081061
1056,1056047,556557.133456832,5948864.11356312
1056,1056048,548473.61322647,5950496.3716018
1056,1056049,544141.652001475,5948939.45073824
1056,1056050,546745.173326647,5938421.8569766
1056,1056051,544172.976887926,5969122.55579753
1057,1057001,586802.138013026,6000889.52921285
1057,1057002,576434.489808115,6006855.39115976
1057,1057003,585369.239249115,6029287.79051002
1057,1057004,604588.598726059,6021986.78450541
1057,1057005,582140.850708921,5996470.7753131
1057,1057006,592253.455604135,6024798.04153431
1057,1057007,608859.81327888,6015981.72600327
1057,1057008,569739.107076194,5992421.22170835
1057,1057009,597014.855210447,5999361.90021178
1057,1057010,573434.346200646,6011296.9441803
1057,1057011,574341.632866259,6003414.04361687
1057,1057012,581191.04015415,6027697.4144567
1057,1057013,602193.650180578,6011371.47980722
1057,1057015,586337.554428613,5997120.34093241
1057,1057016,584063.573127778,6019161.12132865
1057,1057017,588560.104492144,6002553.86066801
1057,1057018,587007.577278298,6023907.27450411
1057,1057020,587622.130917276,6026167.05433282
1057,1057021,597938.632161344,6018351.59352615
1057,1057022,597142.8158543,6007941.43319487
1057,1057023,576176.165783433,6009004.41571591
1057,1057024,569453.611996476,5997277.93139694
1057,1057025,579190.317323864,6025107.16989048
1057,1057026,603339.181532907,6014363.03561397
1057,1057027,606013.677705279,6011581.36577503
1057,1057028,589255.807327303,6025158.28984923
1057,1057029,597843.284551225,6025880.70908566
1057,1057030,606467.596465156,6019140.10992358
1057,1057031,576776.998544734,6010674.0086125
1057,1057032,583823.062261861,5998904.12156549
1057,1057033,574752.047570552,6007295.58574269
1057,1057034,609601.359922635,6008674.51669594
1057,1057035,600739.526304646,6016309.8267991
1057,1057037,574269.011663682,6009119.33838663
1057,1057038,608646.490278808,6011846.22438771
1057,1057039,594380.49176078,6022513.33719272
1057,1057040,587181.030486526,6028234.61735372
1057,1057041,590834.838693092,6026222.45757607
1057,1057042,582442.202981509,6005415.65200528
1057,1057043,579967.139170328,6028909.11813026
1057,1057044,594863.331632403,6016044.62263078
1057,1057045,593363.665655139,6007668.27388798
1057,1057046,588555.77073539,6010282.06636647
1057,1057047,579865.22389545,6004512.85229935
1057,1057048,602981.89858824,6017846.45374779
1057,1057049,583100.209722313,6027921.63639854
1057,1057050,590519.906503363,6015126.91755412
1057,1057051,577664.181084749,6022926.14930225
1057,1057052,593792.156499906,6011326.79220927
1057,1057053,590338.756046048,5995928.21343709
1057,1057054,577223.396026541,6003284.03410939
1057,1057055,601344.109923984,6022702.12579753
1057,1057056,585718.977376323,6024806.3956726
1057,1057057,592991.671754686,6000568.71214323
1057,1057058,580020.794097801,6011862.4085942
1057,1057059,578428.350897963,6006820.14400358
1057,1057060,584223.855954426,6026462.05615628
1057,1057062,583269.858402548,6009920.63042268
1057,1057063,582717.075658787,6024327.51948032
1057,1057065,598822.995308148,6010920.77158457
